rideid,pickuplocation,dropofflocation,distance,ridetype,fare,driverid,customerid,perkmrate,pickupdatetime
ride42,Juhu,Juhu,15.59,UberPool,1027.84,driver2,cust1631,46.58,2020-05-22 20:46:25
ride43,Bandra,Colaba,3.62,UberX,638.78,driver96,cust1391,25.36,2023-06-10 03:06:10
ride44,Andheri,Andheri,9.09,UberPool,1366.78,driver493,cust143,20.44,2022-07-01 20:40:23
ride45,Ghatkopar,Malad,4.41,OlaMicro,1676.75,driver477,cust339,23.85,2024-08-08 18:48:09
ride46,Ghatkopar,Vashi,13.46,UberX,363.72,driver132,cust2077,25.36,2022-02-22 19:52:59
ride47,Malad,Malad,1.22,UberPool,873.79,driver56,cust1241,27.0,2022-11-19 09:07:41
ride48,Vashi,Sion,12.47,UberPool,1029.02,driver485,cust1373,43.77,2024-09-26 14:39:36
ride49,Dadar,Ghatkopar,3.12,OlaMicro,1531.24,driver82,cust616,10.28,2020-02-15 00:01:53
ride50,Kandivali,Borivali,4.75,OlaMicro,1750.8,driver446,cust199,28.59,2020-05-04 23:23:03
ride51,Kurla,Kurla,3.31,UberPool,147.64,driver379,cust1034,27.03,2022-05-10 02:26:10
ride52,Colaba,Thane,15.57,UberPool,398.52,driver366,cust1709,10.7,2023-06-17 18:12:29
ride53,Colaba,Borivali,6.66,UberX,746.63,driver38,cust2177,39.55,2020-10-13 12:23:25
ride54,Thane,South Mumbai,4.33,UberX,1467.24,driver506,cust1766,45.71,2023-09-21 09:24:34
ride55,Versova,Borivali,19.47,UberX,1841.61,driver470,cust167,13.06,2024-06-09 02:13:45
ride56,Borivali,Versova,1.73,OlaMicro,1634.33,driver104,cust1565,30.51,2022-03-02 20:51:16
ride57,Malad,Versova,7.42,UberPool,873.93,driver23,cust754,48.01,2023-05-10 12:55:21
ride58,Versova,Sion,14.71,UberX,1681.86,driver444,cust477,41.75,2024-10-10 16:45:25
ride59,Borivali,Thane,19.9,OlaMicro,1715.78,driver250,cust201,24.97,2021-01-11 14:36:26
ride60,Sion,Ghatkopar,5.09,UberPool,1506.4,driver191,cust1134,30.06,2020-05-20 13:27:03
ride61,Sion,Dadar,12.49,OlaMicro,605.58,driver6,cust1668,18.29,2024-08-05 08:03:33
ride62,Andheri,Andheri,13.49,UberPool,1218.2,driver326,cust398,18.85,2022-09-18 15:54:14
ride63,Bandra,South Mumbai,14.47,OlaMicro,611.27,driver472,cust1724,35.39,2021-02-16 10:01:07
ride64,Kurla,Sion,11.29,OlaMicro,74.51,driver349,cust1310,23.85,2024-08-29 22:08:09
ride65,Kandivali,Versova,3.88,UberPool,460.74,driver175,cust1598,20.23,2021-01-10 22:44:50
ride66,Borivali,South Mumbai,13.55,OlaMicro,998.75,driver354,cust341,18.3,2022-05-27 10:37:50
ride67,Vashi,Juhu,6.78,UberPool,1365.28,driver31,cust639,34.99,2022-08-04 19:05:34
ride68,Borivali,Ghatkopar,12.86,UberPool,1991.86,driver24,cust1163,32.26,2024-01-13 21:58:30
ride69,Ghatkopar,Sion,19.8,OlaMicro,306.81,driver127,cust398,25.83,2020-06-07 18:49:06
ride70,Borivali,Andheri,19.85,UberX,1736.54,driver411,cust1674,24.08,2023-10-08 22:54:28
ride71,Borivali,Andheri,8.95,UberPool,1552.47,driver109,cust1302,30.09,2021-01-05 21:16:15
ride72,Ghatkopar,Kurla,5.28,UberPool,608.25,driver461,cust643,46.96,2023-11-18 15:58:02
ride73,Colaba,Thane,8.6,UberPool,1537.72,driver177,cust403,25.33,2023-01-29 19:37:21
ride74,Ghatkopar,Bandra,19.51,OlaMicro,106.63,driver230,cust568,34.39,2021-02-07 09:32:10
ride75,Versova,Ghatkopar,12.39,UberX,683.79,driver256,cust682,32.77,2022-05-09 04:32:05
ride76,Juhu,Colaba,14.0,OlaMicro,1222.62,driver399,cust2095,44.54,2022-04-21 06:30:24
ride77,Versova,Kandivali,9.7,UberX,391.66,driver205,cust1322,15.31,2020-06-30 12:00:05
ride78,Bandra,Borivali,17.99,UberPool,945.43,driver455,cust991,41.87,2024-07-16 13:47:39
ride79,South Mumbai,Vashi,10.5,OlaMicro,1683.86,driver164,cust1003,28.49,2021-12-28 15:14:58
ride80,Colaba,Malad,1.13,OlaMicro,842.38,driver482,cust1579,12.81,2023-10-15 23:13:25
ride81,Sion,Versova,19.19,OlaMicro,285.91,driver25,cust1797,29.23,2021-04-30 19:28:53
ride82,Ghatkopar,Kandivali,6.57,OlaMicro,1549.08,driver373,cust1637,38.66,2024-01-01 10:32:08
ride83,South Mumbai,South Mumbai,9.14,UberX,1701.79,driver115,cust693,24.66,2024-07-16 16:00:34
ride84,Bandra,Vashi,3.7,UberPool,459.67,driver100,cust1352,35.68,2023-01-09 19:42:44
ride85,Versova,Kurla,9.71,UberX,1526.11,driver351,cust1210,37.57,2024-06-06 11:45:33
ride86,Versova,Andheri,15.96,OlaMicro,586.83,driver37,cust574,15.92,2020-02-14 15:44:44
ride87,Sion,Juhu,1.49,OlaMicro,757.31,driver299,cust1257,47.79,2020-05-10 03:35:18
ride88,Andheri,Kurla,11.79,OlaMicro,907.73,driver302,cust633,39.75,2024-03-28 17:12:11
ride89,Andheri,Kandivali,3.78,UberPool,551.75,driver234,cust115,44.04,2023-01-08 07:05:08
ride90,Colaba,Andheri,3.82,UberPool,1456.22,driver416,cust1954,34.74,2021-12-21 08:32:37
ride91,Malad,Dadar,19.48,OlaMicro,1712.59,driver322,cust2144,24.97,2020-02-23 18:23:17
ride92,Kandivali,Thane,13.32,UberPool,392.01,driver389,cust59,36.75,2020-08-23 22:16:55
ride93,Andheri,Bandra,7.5,UberX,342.67,driver123,cust807,24.26,2023-11-08 12:40:40
ride94,Malad,Sion,11.82,UberX,1687.96,driver234,cust830,24.54,2020-05-23 09:35:32
ride95,South Mumbai,Juhu,8.57,OlaMicro,181.04,driver82,cust230,27.87,2024-05-26 14:26:33
ride96,Vashi,Versova,5.65,UberX,1394.91,driver251,cust936,37.59,2023-08-26 08:34:18
ride97,Borivali,Andheri,4.37,OlaMicro,591.08,driver195,cust261,46.25,2024-07-18 18:38:56
ride98,Colaba,Bandra,10.93,UberX,525.68,driver489,cust1902,13.93,2020-03-26 13:55:30
ride99,Malad,South Mumbai,7.06,UberX,982.68,driver453,cust342,29.04,2021-01-16 23:03:27
ride100,Bandra,Borivali,11.31,UberPool,634.92,driver10,cust1761,44.45,2021-08-07 01:30:02
ride101,Kurla,Vashi,14.68,OlaMicro,429.86,driver468,cust3,20.07,2021-06-09 01:01:54
ride102,Kurla,Malad,12.43,UberX,690.85,driver495,cust2107,21.35,2021-08-28 17:32:37
ride103,Thane,Bandra,6.02,UberPool,586.81,driver516,cust1265,35.04,2021-12-10 13:03:39
ride104,Dadar,Kurla,19.57,UberX,672.45,driver522,cust1928,29.83,2024-02-29 23:39:55
ride105,Ghatkopar,Malad,2.25,UberPool,234.41,driver454,cust1403,35.52,2020-05-18 18:30:01
ride106,South Mumbai,Vashi,4.68,UberX,465.77,driver514,cust1251,22.8,2024-01-03 07:29:22
ride107,Andheri,Sion,2.96,OlaMicro,460.07,driver159,cust1327,16.26,2023-08-26 11:44:58
ride108,Kandivali,Dadar,15.93,OlaMicro,1342.05,driver334,cust2116,49.25,2020-10-02 15:48:02
ride109,Andheri,Bandra,15.82,UberPool,970.36,driver311,cust1519,15.8,2022-08-21 06:50:52
ride110,Kandivali,Versova,14.81,UberPool,926.93,driver436,cust1612,40.51,2024-07-29 01:07:10
ride111,Ghatkopar,Colaba,15.48,UberPool,739.54,driver144,cust1872,40.68,2021-02-22 20:51:43
ride112,Bandra,Bandra,16.55,OlaMicro,1447.51,driver302,cust1530,10.95,2020-03-13 19:43:14
ride113,Juhu,Thane,16.03,OlaMicro,1491.08,driver221,cust2061,27.6,2022-02-07 02:32:13
ride114,Bandra,Dadar,3.03,UberPool,1459.56,driver482,cust189,41.25,2023-07-03 22:26:43
ride115,Sion,Versova,14.07,UberPool,537.2,driver385,cust243,14.06,2021-05-14 23:37:55
ride116,Juhu,Kurla,6.24,UberPool,266.51,driver138,cust304,22.98,2020-09-15 19:31:15
ride117,Kandivali,Dadar,16.66,OlaMicro,632.77,driver205,cust361,27.53,2024-01-16 16:31:45
ride118,Vashi,Malad,11.88,UberPool,1135.52,driver299,cust90,15.62,2020-06-04 00:48:43
ride119,Versova,Versova,17.54,OlaMicro,662.22,driver370,cust1827,39.89,2023-08-09 20:48:26
ride120,Kurla,Bandra,4.5,UberPool,756.3,driver204,cust1061,20.21,2024-04-08 03:16:36
ride121,Malad,Ghatkopar,3.67,UberPool,822.8,driver499,cust197,43.27,2023-03-25 13:12:35
ride122,Thane,Juhu,18.35,UberX,1153.14,driver33,cust2066,44.92,2024-02-03 09:58:11
ride123,Kurla,Andheri,16.01,OlaMicro,700.82,driver69,cust310,32.61,2020-10-11 20:15:45
ride124,Vashi,Thane,11.1,UberX,1169.15,driver480,cust782,40.08,2023-03-13 07:13:48
ride125,Kurla,Kurla,16.54,OlaMicro,346.8,driver339,cust300,17.27,2024-05-15 18:40:32
ride126,Vashi,Versova,9.63,OlaMicro,1649.41,driver443,cust88,26.06,2022-04-21 22:15:23
ride127,Kandivali,Ghatkopar,1.12,UberX,66.65,driver331,cust1750,16.02,2024-01-07 04:41:24
ride128,Vashi,Juhu,12.1,OlaMicro,942.62,driver206,cust1453,45.73,2023-12-28 21:09:57
ride129,Dadar,Bandra,4.59,UberPool,404.09,driver27,cust2185,34.08,2022-07-26 05:47:27
ride130,Thane,Juhu,15.81,UberX,688.55,driver323,cust943,36.33,2021-03-06 04:37:58
ride131,Ghatkopar,Andheri,6.76,UberX,1875.79,driver223,cust1456,11.09,2020-06-27 21:51:25
ride132,Ghatkopar,Colaba,3.34,UberPool,1741.69,driver214,cust1559,11.97,2021-12-11 12:51:25
ride133,Bandra,Vashi,8.58,UberPool,1200.92,driver128,cust381,48.77,2021-12-24 03:31:05
ride134,Bandra,South Mumbai,4.09,UberPool,1494.25,driver367,cust1298,26.61,2024-06-29 05:29:51
ride135,Vashi,Thane,19.72,UberPool,982.06,driver521,cust459,47.8,2023-03-13 16:29:54
ride136,Vashi,Ghatkopar,1.14,UberPool,1925.06,driver103,cust1453,24.42,2022-05-10 10:19:24
ride137,Ghatkopar,Kandivali,16.89,OlaMicro,636.35,driver87,cust1597,45.04,2022-07-15 01:14:56
ride138,Andheri,Versova,19.07,OlaMicro,1799.8,driver47,cust577,43.9,2023-09-14 20:07:23
ride139,Dadar,Thane,11.73,UberX,323.43,driver482,cust160,12.45,2024-07-19 23:09:22
ride140,Malad,Andheri,17.46,UberPool,1254.23,driver162,cust1718,16.9,2021-01-05 23:18:50
ride141,Vashi,Malad,15.1,UberX,761.88,driver113,cust666,11.2,2023-12-22 18:26:13
ride142,Malad,Juhu,6.82,UberPool,1262.73,driver30,cust106,23.26,2023-07-06 00:00:46
ride143,Kandivali,Dadar,1.65,UberPool,140.67,driver387,cust2152,16.79,2020-11-13 12:04:08
ride144,Sion,Bandra,1.28,UberX,868.77,driver68,cust461,48.75,2024-05-06 14:26:39
ride145,Kandivali,Sion,19.68,OlaMicro,908.81,driver1,cust1276,29.05,2020-07-03 22:34:51
ride146,Malad,Thane,3.44,UberPool,1915.97,driver99,cust1958,29.71,2021-08-30 19:45:21
ride147,Thane,Dadar,3.39,UberX,489.83,driver85,cust389,38.69,2023-03-14 01:13:44
ride148,South Mumbai,Bandra,17.85,UberX,538.81,driver309,cust1347,38.42,2020-03-18 13:13:48
ride149,Thane,Thane,13.7,OlaMicro,1975.9,driver274,cust540,23.12,2022-01-18 11:56:50
ride150,Borivali,Versova,13.56,UberX,1508.48,driver395,cust197,41.77,2022-08-29 10:45:04
ride151,Malad,Colaba,1.27,UberX,365.68,driver331,cust48,32.88,2024-05-13 17:14:11
ride152,Bandra,Malad,17.3,OlaMicro,841.03,driver220,cust1857,34.85,2022-01-17 18:37:06
ride153,Andheri,Malad,3.24,OlaMicro,1851.58,driver346,cust764,20.21,2023-07-13 22:51:20
ride154,Kurla,Malad,15.67,UberX,1352.62,driver351,cust2127,20.51,2020-09-09 08:07:26
ride155,Colaba,Thane,9.1,UberX,234.44,driver469,cust456,14.81,2020-04-10 22:58:08
ride156,Juhu,Andheri,3.4,UberPool,900.52,driver85,cust2068,17.3,2020-04-29 14:14:33
ride157,Malad,Bandra,3.69,UberX,437.42,driver363,cust2153,34.04,2020-12-05 18:31:34
ride158,Thane,Thane,11.69,UberX,1610.51,driver372,cust2210,19.22,2020-05-02 16:45:38
ride159,South Mumbai,Malad,8.11,UberX,1288.07,driver232,cust623,31.63,2022-12-25 05:58:52
ride160,Andheri,Colaba,17.31,UberPool,628.17,driver432,cust1952,28.72,2020-07-16 12:10:47
ride161,Andheri,Colaba,14.71,UberX,540.09,driver320,cust856,46.92,2020-07-07 06:30:07
ride162,Ghatkopar,Dadar,2.13,UberX,987.82,driver165,cust994,25.65,2021-04-27 08:47:13
ride163,Ghatkopar,Borivali,13.28,UberX,534.72,driver359,cust289,19.05,2021-03-11 23:14:10
ride164,Ghatkopar,South Mumbai,3.67,OlaMicro,1492.33,driver156,cust844,27.74,2022-11-12 17:50:50
ride165,Colaba,Malad,15.45,UberX,1065.21,driver106,cust1930,19.29,2023-03-14 19:57:16
ride166,South Mumbai,Thane,6.68,OlaMicro,1239.57,driver158,cust289,45.21,2023-04-01 13:42:40
ride167,Colaba,Ghatkopar,17.63,UberPool,270.03,driver478,cust1745,33.4,2024-07-26 18:55:40
ride168,Bandra,Thane,15.41,UberX,222.72,driver372,cust989,44.77,2022-09-12 23:10:05
ride169,Ghatkopar,Ghatkopar,16.9,UberX,1294.22,driver287,cust1130,46.19,2024-07-13 08:00:54
ride170,Kandivali,Andheri,8.97,UberPool,212.03,driver104,cust1989,19.71,2023-06-02 15:22:27
ride171,Ghatkopar,Malad,5.21,UberPool,252.73,driver500,cust1540,34.27,2021-03-20 12:20:11
ride172,South Mumbai,Borivali,1.8,OlaMicro,1910.44,driver98,cust482,48.67,2020-11-14 19:58:45
ride173,Malad,Versova,7.85,OlaMicro,872.57,driver404,cust164,23.89,2022-04-08 15:36:30
ride174,Borivali,Kandivali,17.19,OlaMicro,122.69,driver409,cust1769,36.76,2024-07-03 06:53:15
ride175,Dadar,Colaba,5.1,OlaMicro,1894.6,driver102,cust1198,46.83,2020-09-15 08:12:04
ride176,Kandivali,Sion,14.85,UberPool,749.25,driver353,cust1444,48.94,2024-06-13 06:48:48
ride177,Vashi,Colaba,6.26,UberPool,943.5,driver270,cust658,18.38,2024-06-06 01:47:55
ride178,Vashi,Juhu,15.07,UberX,1697.2,driver92,cust1368,24.07,2023-08-02 21:04:39
ride179,Andheri,South Mumbai,7.01,OlaMicro,226.34,driver416,cust1282,34.87,2023-01-16 18:07:39
ride180,Bandra,Andheri,15.37,OlaMicro,996.61,driver346,cust1794,45.83,2023-12-05 21:40:21
ride181,Juhu,Colaba,19.23,UberX,420.09,driver318,cust2074,38.01,2020-10-03 13:25:16
ride182,Thane,Dadar,15.38,UberPool,1256.02,driver78,cust814,13.73,2023-11-13 07:03:12
ride183,Dadar,Versova,17.19,UberPool,1089.01,driver407,cust545,46.85,2023-03-03 16:01:39
ride184,Versova,Kandivali,17.06,UberPool,1246.17,driver85,cust1327,49.98,2021-02-14 04:35:20
ride185,Bandra,Thane,16.7,UberX,1351.67,driver281,cust108,29.78,2022-02-21 23:47:43
ride186,Bandra,Kurla,5.66,OlaMicro,1632.47,driver149,cust51,21.87,2023-02-22 19:25:28
ride187,Kurla,Kandivali,17.29,UberPool,858.33,driver197,cust1689,17.44,2021-12-09 15:17:20
ride188,Sion,Sion,12.92,UberPool,1506.25,driver373,cust1080,27.25,2024-03-18 09:50:07
ride189,Sion,Bandra,18.1,UberPool,1103.72,driver79,cust551,22.87,2022-11-10 13:28:35
ride190,Borivali,Dadar,16.12,UberX,1962.97,driver520,cust1949,31.41,2024-10-01 11:03:41
ride191,Borivali,Bandra,16.34,OlaMicro,729.27,driver230,cust1906,20.77,2021-09-27 02:34:40
ride192,Kurla,Kurla,9.74,OlaMicro,900.56,driver176,cust91,32.4,2023-05-16 00:32:27
ride193,Kurla,Kandivali,18.02,OlaMicro,338.37,driver363,cust268,48.19,2023-03-27 01:41:12
ride194,Sion,Versova,11.83,UberX,1441.54,driver503,cust1765,38.17,2021-08-07 17:03:49
ride195,Bandra,Malad,19.74,UberPool,654.16,driver312,cust1354,19.3,2021-05-17 10:46:23
ride196,Thane,Malad,3.74,OlaMicro,663.19,driver7,cust217,38.48,2024-08-20 05:31:47
ride197,Vashi,South Mumbai,12.16,OlaMicro,174.08,driver424,cust661,39.3,2024-06-20 22:35:18
ride198,Vashi,Vashi,19.62,UberX,1679.69,driver31,cust2028,39.15,2023-10-18 01:49:00
ride199,Ghatkopar,Borivali,2.69,OlaMicro,1900.61,driver397,cust1670,25.25,2023-12-26 15:47:58
ride200,Juhu,Dadar,3.63,UberX,656.83,driver182,cust1763,45.16,2021-07-20 13:31:32
ride201,Andheri,Ghatkopar,2.72,UberX,491.95,driver84,cust1392,28.07,2021-06-27 21:19:28
ride202,Colaba,Sion,10.95,OlaMicro,168.76,driver61,cust1529,13.82,2022-03-01 23:19:36
ride203,Thane,Colaba,19.31,UberX,687.38,driver314,cust114,42.0,2020-02-29 14:12:06
ride204,Dadar,Bandra,17.33,OlaMicro,1260.7,driver187,cust2193,18.73,2020-04-27 01:39:34
ride205,Malad,Sion,2.84,UberX,1219.45,driver182,cust1806,38.25,2023-04-23 18:40:51
ride206,Kandivali,Kandivali,10.64,UberPool,109.17,driver40,cust2202,45.53,2024-03-25 19:10:29
ride207,Andheri,Sion,16.34,UberPool,260.16,driver185,cust2124,16.7,2023-04-22 12:38:23
ride208,Borivali,Dadar,10.46,OlaMicro,1844.0,driver466,cust1593,41.36,2022-01-25 08:35:33
ride209,South Mumbai,Juhu,13.71,UberX,763.1,driver246,cust2011,17.53,2024-09-27 16:01:48
ride210,Colaba,Sion,1.79,UberPool,1631.27,driver102,cust2130,13.64,2023-08-03 13:49:23
ride211,Borivali,Borivali,18.33,OlaMicro,1087.26,driver404,cust824,21.3,2023-11-15 07:31:55
ride212,Bandra,Andheri,9.51,OlaMicro,881.32,driver446,cust1545,13.3,2020-07-26 22:05:18
ride213,Juhu,Thane,10.33,UberPool,1238.84,driver314,cust2039,49.69,2021-10-24 02:03:40
ride214,Versova,Colaba,15.65,OlaMicro,1670.95,driver193,cust366,22.28,2021-10-17 22:37:54
ride215,Versova,Colaba,13.18,OlaMicro,104.53,driver311,cust1577,17.53,2020-06-21 00:12:07
ride216,Malad,Kandivali,16.65,UberPool,1490.15,driver183,cust2084,24.83,2020-06-20 13:43:00
ride217,South Mumbai,Kurla,18.3,UberX,1790.09,driver328,cust299,38.56,2021-07-29 02:56:25
ride218,Malad,Borivali,4.93,UberX,138.21,driver391,cust844,46.01,2020-07-14 14:40:02
ride219,Colaba,Sion,18.56,UberX,1336.21,driver339,cust726,49.48,2024-06-22 06:30:16
ride220,Kandivali,Ghatkopar,8.06,UberX,354.06,driver253,cust1058,45.28,2021-12-07 11:03:56
ride221,Versova,Kandivali,13.93,OlaMicro,653.99,driver280,cust1677,37.61,2020-05-14 13:25:01
ride222,Ghatkopar,Andheri,16.65,UberX,1642.61,driver500,cust1039,34.01,2023-07-04 22:10:01
ride223,Vashi,Kurla,1.79,UberX,1342.78,driver229,cust289,35.5,2023-08-25 19:39:09
ride224,Vashi,Kurla,4.02,UberX,407.55,driver336,cust686,47.74,2021-03-01 01:17:26
ride225,Versova,Sion,19.15,OlaMicro,826.5,driver294,cust1167,44.22,2023-06-17 12:09:14
ride226,South Mumbai,Ghatkopar,3.06,UberX,1902.91,driver510,cust823,15.08,2021-09-01 21:57:31
ride227,South Mumbai,South Mumbai,9.91,UberX,124.16,driver398,cust756,13.34,2020-10-26 13:40:10
ride228,Borivali,Juhu,5.59,UberPool,1489.78,driver453,cust169,36.52,2020-10-17 18:39:37
ride229,Versova,Juhu,15.6,UberX,1159.16,driver157,cust1399,44.38,2022-12-10 22:01:53
ride230,Juhu,Kurla,18.51,UberX,1808.05,driver58,cust1603,25.2,2021-07-21 16:38:36
ride231,Bandra,Dadar,10.61,OlaMicro,428.96,driver450,cust104,44.85,2020-06-05 00:36:30
ride232,Borivali,Thane,17.03,UberPool,1135.86,driver147,cust1301,12.27,2024-03-06 23:07:22
ride233,Thane,Colaba,8.79,OlaMicro,1454.94,driver330,cust1518,11.54,2023-05-01 04:20:46
ride234,Colaba,Ghatkopar,14.0,UberX,1147.29,driver397,cust491,44.28,2023-08-20 19:40:57
ride235,South Mumbai,Colaba,11.71,OlaMicro,1656.8,driver488,cust1582,21.3,2024-03-06 10:33:19
ride236,Versova,Bandra,9.54,OlaMicro,1006.6,driver257,cust1414,49.21,2021-04-27 20:02:18
ride237,Sion,Dadar,10.1,UberPool,1096.09,driver369,cust917,15.78,2021-08-11 18:09:31
ride238,Ghatkopar,Andheri,19.3,UberX,767.75,driver22,cust1769,42.22,2024-03-23 15:22:48
ride239,Ghatkopar,Versova,1.81,OlaMicro,1710.78,driver412,cust513,43.61,2023-01-24 16:43:23
ride240,Ghatkopar,Ghatkopar,4.95,UberPool,948.13,driver464,cust1819,48.09,2020-02-03 01:03:38
ride241,Juhu,Malad,7.91,UberPool,309.57,driver211,cust1008,18.68,2021-08-16 20:04:14
ride242,Kandivali,Versova,11.8,OlaMicro,1579.05,driver373,cust1898,31.93,2020-07-15 09:25:15
ride243,Andheri,Bandra,8.12,UberPool,325.6,driver112,cust2224,36.09,2023-07-06 16:34:16
ride244,Vashi,Kandivali,18.19,OlaMicro,853.63,driver205,cust890,23.51,2022-08-11 05:22:45
ride245,Sion,Thane,13.53,UberPool,401.61,driver454,cust98,37.76,2020-03-25 21:45:51
ride246,Dadar,Andheri,11.78,OlaMicro,1377.23,driver160,cust1647,33.0,2022-11-01 04:07:16
ride247,Juhu,Kurla,3.86,UberX,1742.66,driver134,cust1994,22.65,2023-01-25 18:50:27
ride248,Vashi,South Mumbai,13.85,UberX,91.86,driver55,cust1358,44.1,2022-08-14 09:45:27
ride249,Juhu,Bandra,18.7,OlaMicro,343.68,driver219,cust1260,43.63,2020-06-06 16:06:25
ride250,Juhu,Borivali,12.84,UberPool,976.42,driver180,cust1187,22.13,2020-12-12 17:12:26
ride251,Dadar,Dadar,18.12,UberPool,280.96,driver420,cust649,32.47,2023-05-16 00:34:32
ride252,Andheri,Versova,14.3,UberX,1953.44,driver151,cust1823,13.88,2022-11-18 04:11:32
ride253,Ghatkopar,Kurla,3.58,UberPool,979.92,driver21,cust1485,47.24,2024-06-02 21:35:50
ride254,Colaba,Kurla,9.5,OlaMicro,1155.23,driver348,cust349,45.46,2024-04-09 03:45:10
ride255,Borivali,Andheri,4.37,OlaMicro,817.55,driver154,cust455,49.72,2024-08-04 13:13:27
ride256,Juhu,Andheri,19.27,OlaMicro,1595.92,driver86,cust1453,34.11,2020-05-09 01:01:28
ride257,Sion,Borivali,1.3,UberPool,1983.82,driver374,cust1036,17.68,2023-12-29 08:05:36
ride258,Sion,Sion,19.66,UberX,1004.74,driver171,cust214,35.98,2024-06-07 01:32:56
